time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Nov-12,SA,6 024,6024,,,,,,,,,,,,,,,,,,,,
1-Nov-12,WA,11 676,11676,,,,,,,,,,,,,,,,,,,,
1-Nov-12,TAS,2 015,2015,,,,,,,,,,,,,,,,,,,,
1-Nov-12,NT,938,938,,,,,,,,,,,,,,,,,,,,
1-Nov-12,ACT,1 556,1556,,,,,,,,,,,,,,,,,,,,
1-Dec-12,NSW,28 619,28619,,,,,,,,,,,,,,,,,,,,
1-Dec-12,VIC,25 238,25238,,,,,,,,,,,,,,,,,,,,
1-Dec-12,QLD,20 116,20116,,,,,,,,,,,,,,,,,,,,
1-Dec-12,SA,6 265,6265,,,,,,,,,,,,,,,,,,,,
1-Dec-12,WA,11 014,11014,,,,,,,,,,,,,,,,,,,,
1-Dec-12,TAS,1 772,1772,,,,,,,,,,,,,,,,,,,,
1-Dec-12,NT,859,859,,,,,,,,,,,,,,,,,,,,
1-Dec-12,ACT,1 544,1544,,,,,,,,,,,,,,,,,,,,
1-Jan-13,NSW,26 194,26194,,,,,,,,,,,,,,,,,,,,
1-Jan-13,VIC,22 583,22583,,,,,,,,,,,,,,,,,,,,
1-Jan-13,QLD,16 946,16946,,,,,,,,,,,,,,,,,,,,
1-Jan-13,SA,5 918,5918,,,,,,,,,,,,,,,,,,,,
1-Jan-13,WA,10 198,10198,,,,,,,,,,,,,,,,,,,,
1-Jan-13,TAS,1 403,1403,,,,,,,,,,,,,,,,,,,,
1-Jan-13,NT,748,748,,,,,,,,,,,,,,,,,,,,
1-Jan-13,ACT,1 440,1440,,,,,,,,,,,,,,,,,,,,
1-Feb-13,NSW,27 427,27427,,,,,,,,,,,,,,,,,,,,
1-Feb-13,VIC,24 415,24415,,,,,,,,,,,,,,,,,,,,
1-Feb-13,QLD,18 369,18369,,,,,,,,,,,,,,,,,,,,
1-Feb-13,SA,5 696,5696,,,,,,,,,,,,,,,,,,,,
1-Feb-13,WA,10 679,10679,,,,,,,,,,,,,,,,,,,,
1-Feb-13,TAS,1 309,1309,,,,,,,,,,,,,,,,,,,,
1-Feb-13,NT,867,867,,,,,,,,,,,,,,,,,,,,
1-Feb-13,ACT,1 456,1456,,,,,,,,,,,,,,,,,,,,
1-Mar-13,NSW,29 928,29928,,,,,,,,,,,,,,,,,,,,
1-Mar-13,VIC,25 360,25360,,,,,,,,,,,,,,,,,,,,
1-Mar-13,QLD,21 135,21135,,,,,,,,,,,,,,,,,,,,
1-Mar-13,SA,5 680,5680,,,,,,,,,,,,,,,,,,,,
1-Mar-13,WA,11 145,11145,,,,,,,,,,,,,,,,,,,,
1-Mar-13,TAS,1 564,1564,,,,,,,,,,,,,,,,,,,,
1-Mar-13,NT,1 075,1075,,,,,,,,,,,,,,,,,,,,
1-Mar-13,ACT,1 513,1513,,,,,,,,,,,,,,,,,,,,
1-Apr-13,NSW,25 982,25982,,,,,,,,,,,,,,,,,,,,
1-Apr-13,VIC,23 023,23023,,,,,,,,,,,,,,,,,,,,
1-Apr-13,QLD,17 666,17666,,,,,,,,,,,,,,,,,,,,
1-Apr-13,SA,5 381,5381,,,,,,,,,,,,,,,,,,,,
1-Apr-13,WA,9 497,9497,,,,,,,,,,,,,,,,,,,,
